google,php,3200,20
grabapp,java,116,1
grabapp,javascript,98,2
grabapp,c++,82,3
grabapp,python,70,4
grabapp,html,68,5
grabapp,mysql,64,6
grabapp,sql,62,7
grabapp,c,51,8
grabapp,microsoft office,45,9
grabapp,php,44,10
grabapp,web development,39,11
grabapp,node.js,38,12
grabapp,css,37,13
grabapp,software development,37,14
grabapp,linux,37,15
grabapp,git,36,16
grabapp,algorithms,35,17
grabapp,programming,34,18
grabapp,data structures,33,19
grabapp,c#,29,20
lenovo,linux,30,1
lenovo,java,24,2
lenovo,software development,22,3
lenovo,c++,22,4
lenovo,testing,20,5
lenovo,sql,19,6
lenovo,c,18,7
lenovo,embedded systems,16,8
lenovo,python,14,9
lenovo,integration,14,10
lenovo,cloud computing,13,11
lenovo,unix,13,12
lenovo,software engineering,13,13
lenovo,javascript,13,14
lenovo,storage,13,15
lenovo,debugging,12,16
lenovo,agile methodologies,12,17
lenovo,xml,12,18
lenovo,embedded software,11,19
lenovo,operating systems,10,20
linkedin,java,623,1
linkedin,python,556,2
linkedin,javascript,467,3
linkedin,c++,455,4
linkedin,c,388,5
linkedin,sql,381,6
linkedin,html,375,7
linkedin,mysql,276,8
linkedin,linux,270,9
linkedin,microsoft office,238,10
linkedin,css,207,11
linkedin,algorithms,206,12
linkedin,software development,203,13
linkedin,matlab,201,14
linkedin,git,189,15
linkedin,node.js,165,16
linkedin,programming,160,17
linkedin,machine learning,156,18
linkedin,microsoft excel,153,19
linkedin,cascading style sheets,149,20
mercadolibre,javascript,236,1
mercadolibre,java,210,2
mercadolibre,sql,183,3
mercadolibre,mysql,174,4
mercadolibre,html,150,5
mercadolibre,microsoft sql server,124,6
mercadolibre,jquery,124,7
mercadolibre,php,117,8
mercadolibre,linux,116,9
mercadolibre,git,116,10
mercadolibre,c#,107,11
mercadolibre,css,104,12
mercadolibre,microsoft office,100,13
mercadolibre,scrum,93,14
mercadolibre,html5,88,15
mercadolibre,desarrollo de software,80,16
mercadolibre,c++,75,17
mercadolibre,bootstrap,69,18
mercadolibre,angularjs,65,19
mercadolibre,xml,62,20
microsoft,java,6660,1
microsoft,c++,5712,2
microsoft,python,5264,3
microsoft,javascript,4959,4
microsoft,c,4581,5
microsoft,sql,4198,6
microsoft,html,3977,7
microsoft,c#,3581,8
microsoft,microsoft office,3155,9
microsoft,software development,2953,10
microsoft,linux,2847,11
microsoft,mysql,2434,12
microsoft,programming,2309,13
microsoft,css,1999,14
microsoft,git,1946,15
microsoft,algorithms,1866,16
microsoft,microsoft excel,1865,17
microsoft,matlab,1679,18
microsoft,leadership,1649,19
microsoft,php,1578,20
netsuite,javascript,42,1
netsuite,java,41,2
netsuite,sql,38,3
netsuite,html,33,4
netsuite,linux,22,5
netsuite,css,21,6
netsuite,xml,20,7
netsuite,php,20,8
netsuite,software development,19,9
netsuite,c#,19,10
netsuite,mysql,19,11
netsuite,git,18,12
netsuite,python,18,13
netsuite,c++,15,14
netsuite,jquery,13,15
netsuite,c,12,16
netsuite,microsoft office,12,17
netsuite,agile methodologies,9,18
netsuite,web development,9,19
netsuite,microsoft sql server,9,20
no-company_8,javascript,1,1
no-company_8,node.js,1,2
no-company_8,cascading style sheets,1,3
no-company_8,angularjs,1,4
no-company_8,express.js,1,5
no-company_8,mongodb,1,6
nvidia,c++,331,1
nvidia,c,293,2
nvidia,java,265,3
nvidia,python,262,4
nvidia,linux,201,5
nvidia,javascript,137,6
nvidia,sql,134,7
nvidia,algorithms,126,8
nvidia,software development,122,9
nvidia,programming,120,10
